customer_id,tenure_months,subscription_tier,age_group,region,login_frequency,session_duration,feature_usage_count,days_since_last_login,support_tickets,payment_failures,discount_usage,referrals_made,churned
CUST_000001,5,Basic,46-55,East,5.2,43.0,5,6.4,2.0,0,0,0,0
CUST_000002,36,Basic,26-35,South,6.6,68.6,3,0.8,4.0,0,1,2,0
CUST_000003,15,Basic,26-35,West,2.4,16.7,5,15.5,0.0,2,0,1,1
CUST_000004,10,Standard,36-45,North,4.4,16.6,12,0.1,1.0,0,0,0,0
CUST_000005,2,Basic,36-45,East,9.0,10.0,11,0.2,3.0,0,0,0,0
CUST_000006,2,Premium,46-55,East,10.2,,7,3.1,0.0,1,1,1,0
CUST_000007,1,Basic,56+,West,1.4,11.7,2,7.6,3.0,4,1,2,1
CUST_000008,24,Standard,18-25,South,11.4,58.2,10,0.9,0.0,1,0,0,0
CUST_000009,11,Standard,46-55,East,21.5,13.7,8,4.0,0.0,0,0,0,0
CUST_000010,14,Standard,26-35,South,3.8,27.7,3,0.7,2.0,0,1,1,0
CUST_000011,1,Premium,26-35,South,,17.3,12,0.7,2.0,0,0,0,0
CUST_000012,42,Standard,18-25,West,18.7,48.3,10,1.2,1.0,1,0,1,0
CUST_000013,21,Premium,18-25,West,10.9,4.5,9,0.0,1.0,1,0,1,0
CUST_000014,2,Basic,26-35,East,1.5,20.6,12,1.4,0.0,0,0,0,0
CUST_000015,2,Standard,26-35,South,,56.4,4,2.9,1.0,0,0,1,0
CUST_000016,2,Basic,46-55,West,0.3,15.4,2,31.0,0.0,0,0,2,1
CUST_000017,4,Basic,46-55,North,1.2,36.2,6,1.8,3.0,0,0,0,0
CUST_000018,8,Basic,56+,North,1.5,14.9,4,0.9,3.0,2,0,0,1
CUST_000019,6,Basic,36-45,East,13.6,54.5,7,7.1,,1,1,0,0
CUST_000020,4,Basic,26-35,South,14.4,28.8,6,3.3,1.0,0,1,0,0
CUST_000021,11,Basic,26-35,West,1.2,2.1,4,5.3,4.0,2,1,0,1
CUST_000022,1,Basic,26-35,South,4.1,16.6,3,0.3,1.0,0,0,0,0
CUST_000023,4,Premium,26-35,South,15.4,86.4,16,0.3,,0,0,2,0
CUST_000024,5,Basic,36-45,East,21.3,6.3,5,8.8,0.0,0,1,0,0
CUST_000025,7,Standard,36-45,West,0.5,7.2,14,3.4,0.0,0,1,2,0
CUST_000026,18,Basic,26-35,South,1.3,33.4,14,5.5,0.0,0,0,1,0
CUST_000027,2,Premium,18-25,North,8.0,15.9,14,0.2,0.0,1,0,0,0
CUST_000028,8,Premium,18-25,West,2.9,33.8,11,9.0,1.0,0,1,1,0
CUST_000029,10,Standard,26-35,South,18.0,12.8,9,2.8,2.0,0,1,0,0
CUST_000030,1,Standard,18-25,North,7.7,27.3,9,3.7,0.0,1,0,0,0
CUST_000031,11,Basic,46-55,East,16.9,7.0,10,1.7,4.0,0,0,0,0
CUST_000032,2,Premium,18-25,North,15.6,28.6,8,0.2,2.0,2,1,0,0
CUST_000033,1,Premium,46-55,West,19.9,43.6,9,3.7,2.0,0,0,0,0
CUST_000034,35,Premium,26-35,East,,49.4,8,2.5,2.0,0,0,0,0
CUST_000035,40,Standard,18-25,West,1.1,69.2,6,0.7,2.0,0,0,1,0
CUST_000036,19,Basic,46-55,South,3.5,11.8,4,3.2,1.0,2,1,0,1
CUST_000037,4,Premium,36-45,West,23.2,79.8,16,4.8,4.0,1,0,2,0
CUST_000038,1,Basic,26-35,North,25.5,33.6,9,4.0,0.0,0,1,1,0
CUST_000039,13,Standard,46-55,North,6.6,14.8,11,6.6,0.0,0,0,1,0
CUST_000040,6,Basic,18-25,North,13.6,43.5,9,0.8,3.0,0,1,1,0
CUST_000041,1,Premium,26-35,South,3.4,12.0,3,5.4,0.0,2,0,0,1
CUST_000042,8,Basic,46-55,North,2.9,3.8,6,34.3,4.0,0,0,0,1
CUST_000043,1,Basic,46-55,East,3.8,6.8,3,3.6,6.0,2,0,0,1
CUST_000044,28,Standard,26-35,South,22.5,15.6,7,0.4,1.0,0,1,1,0
CUST_000045,3,Standard,18-25,South,13.3,6.2,12,1.6,0.0,1,0,0,0
CUST_000046,13,Standard,46-55,East,12.0,15.3,4,6.5,,0,0,0,0
CUST_000047,4,Basic,26-35,North,21.7,24.9,12,1.6,1.0,0,1,1,0
CUST_000048,8,Basic,26-35,West,4.1,82.6,12,1.5,1.0,0,0,0,0
